permutation,score,elapsed_seconds,n_fits,fit_convergence_issues,warnings,labels_sha256
147,0.373849893229251,99.170828719999918,370,0,0,96cb8d163ed7aa6b7c10ed5f1cea84f51536aed04d5fd48d35dd781966f2c8fc
148,0.38304955356313319,93.627590682999639,370,0,0,441e892e3e827e3fa70156667b1d4e6de0cdc5bdfbf2053552ce397002be5838
149,0.4139844093776428,96.918258661000436,370,0,0,9f4a9a520fc7142c6feee1ea07e55191f1609328d8881490a0c78978ed3b60c9
150,0.36482816975312687,98.873953295998945,370,0,0,7b6c4bb9ac62ecf11debdf4783385bfc2bf7527da49311d4b022159112cd1f54
151,0.45933661385301988,95.619209566000805,370,0,0,c6ba102d54b2265136cbc2f90bd147874bf8f0ea922eb65943399009190dd9ee
152,0.43338087267296288,90.045020286999716,370,0,0,000ea3ccc6fb1a3349dc6b24c341270584722c1f3b31333d6a84c74ead9cd214
153,0.44243824214468042,92.727814545000001,370,0,0,46a5f6c1640eb347b84b0e8d3f914ccc602ef430f44f8397a07855918f0d2284
154,0.4302280685479894,90.2207984980014,370,0,0,c4a2208f3fb65f79f76b8c3c47aef7a40c906c4cee8e13196a4a7393c519a4f4
155,0.45854004751657229,88.582155916001284,370,0,0,56497c60bad060d910c8b595379c905f1020922c5d3b658ab02a65d0bc1e665b
156,0.3777502921846464,89.360675436000747,370,0,0,4cd6b2ba76576258f4b7c3a2f539280ac5ab1fecb68d5cd31aa8bc0d6e6e4291
157,0.4861748975539058,86.996243073999722,370,0,0,c0ca4ebdd9d8eae80b71bcffc1e2f923f21209eba67c9dea860f23e82e6d9700
158,0.38210055000339788,91.121108306999304,370,0,0,2a194299cd6effccda69f90bd9a3de8b23b84403425c50ccd026466167b68924
159,0.3875113669729256,89.533458952999354,370,0,0,1ad1c94f82c4b638e49bf172f419afce92fbcdf36f761047e49d641debe241bd
160,0.41905082220120587,88.571102645999417,370,0,0,4f72dfa297dcc3c352bfffad5543ba7d79ec07d8cd74db52802cdd09d985b0bf
161,0.39872302690292388,89.235395703000904,370,0,0,0a80ed74816a8b5ea8360ab4cd0ba2fca6bc7cb6d862a9515c111648690ca9df
162,0.40835028820715791,88.016001934000087,370,0,0,b62f889ac974e94b3a5606268b79708fe6500a34fb07901297a6fac559d97c91
163,0.45255404242466818,88.391026069999498,370,0,0,f6ae611bfcf6c9aea52995a45e4ee4e3b65b87f40094235f90f7c1f7dfc5acb8
164,0.39207441369184293,93.81790464200094,370,0,0,020e9efba722c37fedfae84a2e1c9cd4380b3c596810b21117a4170e9f1b9d09
165,0.41154774610151518,94.488506689998758,370,0,0,5779cbfe3efa22d68c9029b4beeb8ed6da351a9cb070542cd4599d1e5cb808c1
166,0.38734610111120371,96.649388798999993,370,0,0,84b6d39a4ac67b3f9b227560e5a9ec7088b7e175c2c41f12871f71d5b1a85a35
167,0.3786643865931848,94.944924674999115,370,0,0,ca4b341c31af260ace7804144a33bd54935f8a9b6d5ed639a594676075d6d4f2
168,0.41107865343461408,98.086714929000664,370,0,0,f68b6c092c574b6377e6c15002ccc8f957b166abfa47d5b71b760458f8bae8f1
169,0.40478098402456969,101.61378491899995,370,0,0,cbbb37f2fa44634059e1446261e8de8ae27c0059f12abd5411da4953e5933f32
170,0.3329445768694535,103.7409833139991,370,0,0,73a5b7a014a1147a0fa8adf3eb011c8be6f65d9c5b04bcda1775643c01f50fd4
171,0.37442174346613039,104.58211588999984,370,0,0,6dd5a3db009edcc207aed5b2e84bd72278b4e49343d6f20e9fba21f672014af4
172,0.34197387939782159,106.38693332299954,370,0,0,465200ff4b156e385817c7a45027199775a08b2486bd2168222533d9cff1ba16
173,0.3764276697593944,101.63580650599944,370,0,0,699b6818e2dead6cda36942bfbb37d5f870701e750226569192bd6008598f7ba
174,0.35451686338644961,101.18313883699921,370,0,0,10b75ba7fb661d8ccd16a8d9175838c4ef5492ce9f57e06464095f6d402a699c
175,0.42920248706961778,102.71021045500127,370,0,0,4e50094c7fe4a4bdc794b3a9a3b9672fd707bbb3041cd6ddfd7674c12e419b51
176,0.44769107031786448,91.999212885999441,370,0,0,2063ab59796754aecfe2de984d8585ec3982d852fd73372f8898c802f5d97b33
177,0.38369898038178729,93.147881312999743,370,0,0,a1fa414f249db219ff0bac51eec7b5e5fdbbcb0b16bffe05c6dcbb6f36c0b5a6
178,0.39870374941932152,91.901089568998941,370,0,0,188bdd314e57440ca67adebe12d2f8842f763056eb6210fc18f822c7baa72839
179,0.3609079019078163,90.966762228999883,370,0,0,c357cb1d5015b518f22096a52572b99d48768a10b75f17ec6525bf97a0f42a75
180,0.4499784562667663,92.345399769999858,370,0,0,a8355e40a3f05bbe3a638083e92caaf996b64f1cac6bd3c9573a91bc3b8fb839
181,0.3270852759700239,90.662057956000353,370,0,0,7f8d558ec907e24b0301f95b2231f382b90dad83b69ebdd9e88c894a5e36675e
182,0.42866233733854059,90.338768446999893,370,0,0,9e6adc83de1cd0f0b419b8b9f42287be19d56c7976b79e4bcdbbd86e1ababbb1
183,0.39969757609183271,89.405979097999079,370,0,0,af98d3e6b6c575b66666fd7d86ec79f6ca1988dd07c8e1cb768e0582e7f5f631
184,0.37186988519675179,87.582790169999498,370,0,0,25350126b373c6bb8e81cdec3a06696c4ee4fac30c6dcc1fcda5c565f2b99af1
185,0.40651502714054788,87.836125898998944,370,0,0,02deb8ccbec6e70af0870821a0710c2697eb62cdd5477fe90de15430a256e59d
186,0.4252451958084052,92.34165470399968,370,0,0,664385a6e91bb58b88720a7917a08ee8d6c1194d47024c86e74b54e220633e2a
187,0.43319403979889171,87.414105168998503,370,0,0,d79c0f5e9a9d193f4ec05141f13dbbd685a0a358e2e5f3a031fcbbdd9a5707ca
188,0.3508895891722672,86.68966551199992,370,0,0,3d47dabd5479c214cf12c9d0b209f3631d7b9563a842d092d1fdee969f7d86ad
189,0.39518159924089491,91.09429972900034,370,0,0,7abbdbadd9ba23253b4d0e5f36a1a3a617a189a2ed83408c7d89315e3e1c75e5
190,0.32286830540132,86.268367898999713,370,0,0,92989dc674934e2e5c56837e36fe521a1b65ad360e4ce7f86c1fc1151390d2c8
191,0.42046324117025408,86.578350986999794,370,0,0,c21cda92a993f3c5f3ea693d02868982baace2636bc1120ddb1615650e5e6993
192,0.39249429819836468,91.045087811000485,370,0,0,04098c696bbcb6fc7293631d97ff884b935e02254f6598f16a951f3064fd2b54
193,0.4653991144542709,88.306132556001103,370,0,0,7b019282fe28dc2906a50f023f2824c18f58808147fba54f5f7647c9cb5b2c70
194,0.40405159547074831,86.316494494998551,370,0,0,8565b5b7fb10fa29da66916fb562f19c7dfaaf8341937e77120a59331c591182
195,0.41768705392272609,89.306174388000727,370,0,0,cb35b51ff15f2dfacde0c448694e6f9d4562c79114d71ba72f0be0b81873069a
196,0.3508910726372596,87.042332938000982,370,0,0,15d3ecc3b3ac7e88ec32085a9e34eafaa745a28433ab0025b872d38714baad59
197,0.37853639639236858,89.366323579999516,370,0,0,08d7ffd67b09f4bbb496c5c7676d9b83edf1a577cea0ad16279392d14e4c9e73
198,0.34877136516633012,85.774462299999868,370,0,0,6c8518d3bb98dbd502eb6b4fe265c22f7c55cbb09d7e3d5a9a132eadd6f5dbe8
199,0.4373636839973104,86.03579184299997,370,0,0,2fa7a990b58296d9230525367ce24ffa69f3364233936c057c4607646684a037
200,0.43908163293771291,84.786034822998772,370,0,0,d644d5e48e42c5c854a0c5b551d82e5aba25e7611cdfea5be279fb8b3b83ea54
201,0.40786842590868377,91.255440970000564,370,0,0,d2207e083eb31b79b3e5ebef18833f9dbd55b6f97d96a5f3e37d5a88c2ac5437
202,0.33663791070482818,87.589537943000323,370,0,0,e5e948a70d6749192529bfbdde7b2365244baabca95760cefeb1f8b292d26b27
